review_text,subtheme_sentiments_pred
tire deliver garage choicethe garage notify deliver day time arrange garage go fitteda hassel free experience,"[('tire deliver garage choicethe garage notify deliver day time arrange garage', 'neutral'), ('fitteda hassel free experience', 'positive')]"
easy tyre selection process competitive pricing excellent fitting service,"[('competitive pricing', 'positive'), ('easy tyre selection', 'positive')]"
easy use good value money,"[('good value money', 'positive')]"
easy convenient arrange,"[('easy convenient arrange', 'positive')]"
easy select tyre size arrange local fit price competitive,"[('easy select tyre size arrange local fit price', 'positive')]"
service excellent slight downside know exact time garage garage quick not delay,"[('service excellent slight downside', 'positive'), ('exact time garage garage', 'neutral')]"
user friendly website competitive price good communication efficient service ats euromaster,"[('user friendly website competitive price good communication efficient service ats euromaster', 'positive')]"
excellent price service,"[('excellent price service', 'positive')]"
straightforward garage great not know,"[('straightforward garage', 'neutral')]"
use local garage,"[('local garage', 'neutral')]"
easy use good price,"[('good price', 'positive')]"
outstanding value money friendly professional service,"[('outstanding value money friendly professional service', 'positive')]"
great price easy use,"[('great price easy use', 'positive')]"
good price easy use garage familiar,[]
book slot not provide rearrange make bit mockery online booking system,"[('rearrange', 'neutral'), ('book slot', 'neutral'), ('bit mockery', 'negative'), ('online booking system', 'neutral')]"
good price good fitting centre,"[('good price good fitting centre', 'positive')]"
competitively price easy use fitting centre near professional,"[('easy use fitting centre', 'positive'), ('professional', 'neutral')]"
easy use keep date step way good product good price thank,"[('good product', 'positive'), ('easy use', 'positive'), ('good price thank', 'positive')]"
easy website navigate competitive price great selection garage choose fit,"[('easy website', 'positive'), ('competitive price great selection garage', 'positive')]"
good experience set time booking,"[('booking', 'neutral'), ('time', 'neutral'), ('good experience', 'positive')]"
hassle fuss good price,"[('good price', 'positive'), ('hassle', 'neutral')]"
good price good fitting service ats cleckheaton,"[('ats cleckheaton', 'neutral'), ('good price good fitting service', 'positive')]"
quick simple website choose tyre want good value good quality tyre process choice fitting easy,"[('quick simple website', 'neutral'), ('tyre', 'neutral')]"
great choice quick service excellent garage fitting,"[('great choice quick service excellent garage', 'positive')]"
staff garage manner swear openly customer,"[('customer', 'neutral'), ('staff garage manner', 'neutral')]"
good price fit local company,"[('good price fit local company', 'positive')]"
wait garage hour fit book time slot avoid wait,"[('hour', 'neutral'), ('garage hour fit book time slot', 'positive')]"
easy use good price,"[('good price', 'positive')]"
tyre want price like fitting garage good,"[('fitting garage', 'neutral'), ('price', 'neutral'), ('tyre', 'neutral')]"
quick order great service garage,"[('quick order great service garage', 'positive')]"
simple order easy book appointment tyre turn time fitter great job,"[('simple order easy book appointment tyre', 'positive'), ('time fitter great job', 'positive')]"
easy use site good choice tyre good price choice tyre fitter near home plentiful,"[('easy use site good choice tyre good price choice tyre fitter', 'positive'), ('home', 'neutral')]"
easy find tyre need close home fit,"[('close home fit', 'positive'), ('tyre', 'neutral')]"
great service car ready time price reasonable,"[('great service car ready time price', 'positive')]"
great price service,"[('great price service', 'positive')]"
staff redacted go help organise booking order tire staff choose garage quick efficient,"[('garage', 'neutral'), ('staff', 'neutral'), ('booking order tire staff', 'neutral')]"
quick convenient hasslefree need phone price m confident save money,"[('phone price', 'neutral'), ('money', 'neutral'), ('convenient hasslefree', 'neutral')]"
price competative fitting easy,[]
redact website easy use give clear option tyre suitable car tyre good value good quality staff garage choose friendly flexible fit need,"[('tyre suitable car tyre good value good quality staff garage', 'positive'), ('clear option', 'positive'), ('friendly flexible fit need', 'positive'), ('redact website easy use', 'positive')]"
easy order tyre choose fitting centre go smoothly,"[('tyre', 'neutral')]"
tyre fit time efficient   ost staff pleasant,"[('tyre fit time efficient   ost staff pleasant', 'positive')]"
excellent service nice garage staff cfm northampton superb,"[('cfm northampton', 'neutral'), ('excellent service nice garage staff cfm northampton superb', 'positive')]"
